ident;size;scanDuration;chunksTested;matchesAdded;appraisal;Cnt;CntDom;CntCode;CntData;#Blob;#Blob Stream Header;#GUID;#Strings;#Strings Stream Header;#US;#US Stream Header;#~;.data;.idata;.pdata;.rdata;.reloc;.rsrc;.text;0x2e 0x6b 0x66 0x6c 0x78 0x00 0xcc 0xcc ;DotNet Header;_RDATA;a$F-sH-*;methods;unknown
EXE PE.NET;11776;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;14336;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;14336;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;14336;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;611840;98;344;77;Fragile;52;17;0;52;0;1;0;42;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;611840;24;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;611840;51;210;42;Fragile;22;18;6;16;0;1;0;8;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;6;0
EXE PE32;419840;13;180;82;Fragile;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
EXE PE32;419840;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;419840;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;60416;102;474;143;Fragile;51;43;0;51;2;0;1;11;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;60416;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;60416;8;54;20;Fragile;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;10752;20;531;247;Fragile;20;20;0;20;0;0;0;13;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;10752;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;10752;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;5294080;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;12288;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;12288;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;12288;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;174592;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;174592;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;174592;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;112128;13;238;83;Fragile;27;23;0;27;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;112128;7;214;62;Fragile;35;19;0;35;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;112128;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;256512;298;633;194;Fragile;79;77;61;18;0;0;0;0;0;0;0;0;2;0;0;14;0;0;61;0;0;2;0;0;0
EXE PE.NET;643584;130;317;66;Fragile;41;40;0;41;0;1;0;23;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;643584;22;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;643584;12;79;9;Fragile;6;2;1;5;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
EXE PE.NET;643584;120;311;63;Fragile;41;40;0;41;0;1;0;23;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;643584;22;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;643584;11;72;9;Fragile;5;2;1;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
EXE PE.NET;17573888;6;105;20;Fragile;13;3;10;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;10;0
EXE PE64;17920;3;247;71;Fragile;47;27;15;32;0;0;0;0;0;0;0;0;0;32;0;0;0;0;15;0;0;0;0;0;0
EXE PE64;17920;42;63;19;Robust;8;8;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0
EXE PE.NET;60416;101;474;143;Fragile;51;43;0;51;2;0;1;11;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;60416;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;60416;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;1088416;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE32;1088416;19;34;7;Fragile;5;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
